,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Buyer ID,Bid Price,Bid Size,No. Buyers,Seller ID,Ask Price,Ask Size,No. Sellers,Qualifiers,Exch Time
23680,HMb.ST,20090702,10:39:49.581640,2,Quote,,,,,,5000.0,,,,,,,
23681,HMb.ST,20090702,10:39:49.581640,2,Trade,,386.5,4400.0,NDS ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:39:49.000
23682,HMb.ST,20090702,10:40:11.737889,2,Quote,,,,,,4954.0,,,,,,,
23683,HMb.ST,20090702,10:40:11.737889,2,Trade,,386.5,46.0,NDS ,,,,SGP ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:40:11.000
23684,HMb.ST,20090702,10:40:21.158665,2,Quote,,,,,,,,,,25424.0,,,
23685,HMb.ST,20090702,10:40:30.461093,2,Quote,,,,,,,,,,27648.0,,,
23686,HMb.ST,20090702,10:40:31.880493,2,Quote,,,,,,3002.0,,,,,,,
23687,HMb.ST,20090702,10:40:31.880493,2,Trade,,386.5,1952.0,NDS ,,,,ENS ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:40:31.000
23688,HMb.ST,20090702,10:40:32.846371,2,Quote,,,,,,2.0,,,,,,,
23689,HMb.ST,20090702,10:40:32.846371,2,Trade,,386.5,3000.0,NDS ,,,,HQB ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:40:32.000
23690,HMb.ST,20090702,10:40:33.115259,2,Quote,,,,,,,,,,28247.0,,,
23691,HMb.ST,20090702,10:40:37.100708,2,Quote,,,,,,,,,,28178.0,,,
23692,HMb.ST,20090702,10:40:37.669323,2,Quote,,,,,,,,,,28248.0,,,
23693,HMb.ST,20090702,10:40:51.815271,2,Quote,,,,,386.0,15770.0,,,,,,,
23694,HMb.ST,20090702,10:40:51.815271,2,Trade,,386.5,2.0,NDS ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:40:51.000
23695,HMb.ST,20090702,10:40:51.815271,2,Quote,,,,,,16170.0,,,,,,,
23696,HMb.ST,20090702,10:40:51.868010,2,Quote,,,,,,17170.0,,,,,,,
23697,HMb.ST,20090702,10:40:51.962049,2,Quote,,,,,,,,,386.5,3998.0,,,
23698,HMb.ST,20090702,10:40:51.962049,2,Quote,,,,,,16477.0,,,,,,,
23699,HMb.ST,20090702,10:40:51.985532,2,Quote,,,,,,15477.0,,,,,,,
23700,HMb.ST,20090702,10:40:51.985532,2,Quote,,,,,,15433.0,,,,,,,
23701,HMb.ST,20090702,10:40:52.032338,2,Quote,,,,,,15744.0,,,,,,,
23702,HMb.ST,20090702,10:40:52.102594,2,Quote,,,,,,,,,,4572.0,,,
23703,HMb.ST,20090702,10:40:52.115716,2,Quote,,,,,,14444.0,,,,,,,
23704,HMb.ST,20090702,10:40:52.352227,2,Quote,,,,,,,,,,4417.0,,,
23705,HMb.ST,20090702,10:40:52.352227,2,Trade,,386.5,155.0,SHB ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:40:52.000
23706,HMb.ST,20090702,10:40:53.394761,2,Quote,,,,,,15962.0,,,,,,,
23707,HMb.ST,20090702,10:40:54.357506,2,Quote,,,,,,14444.0,,,,,,,
23708,HMb.ST,20090702,10:40:55.972367,2,Quote,,,,,,13062.0,,,,,,,
23709,HMb.ST,20090702,10:40:56.585537,2,Quote,,,,,,,,,,2865.0,,,
23710,HMb.ST,20090702,10:40:56.603155,2,Trade,,386.5,1552.0,VMU ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:40:56.000
23711,HMb.ST,20090702,10:40:56.863613,2,Quote,,,,,,13052.0,,,,,,,
23712,HMb.ST,20090702,10:40:59.365371,2,Quote,,,,,,14491.0,,,,,,,
23713,HMb.ST,20090702,10:41:01.663796,2,Quote,,,,,,13052.0,,,,,,,
23714,HMb.ST,20090702,10:41:01.815802,2,Quote,,,,,,,,,,3865.0,,,
23715,HMb.ST,20090702,10:41:05.177829,2,Quote,,,,,,,,,,3438.0,,,
23716,HMb.ST,20090702,10:41:05.177829,2,Trade,,386.5,427.0,SHB ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:41:05.000
23717,HMb.ST,20090702,10:41:18.678769,2,Quote,,,,,,,,,,4438.0,,,
23718,HMb.ST,20090702,10:41:20.418849,2,Quote,,,,,,,,,,5258.0,,,
23719,HMb.ST,20090702,10:41:38.442256,2,Quote,,,,,,14589.0,,,,,,,
23720,HMb.ST,20090702,10:41:42.858711,2,Quote,,,,,,,,,,4438.0,,,
23721,HMb.ST,20090702,10:41:46.102290,2,Quote,,,,,,,,,,4938.0,,,
23722,HMb.ST,20090702,10:41:46.112821,2,Quote,,,,,,,,,,4438.0,,,
23723,HMb.ST,20090702,10:41:46.145556,2,Quote,,,,,,,,,,4938.0,,,
23724,HMb.ST,20090702,10:41:55.736528,2,Quote,,,,,,,,,,5938.0,,,
23725,HMb.ST,20090702,10:41:56.345888,2,Quote,,,,,,14839.0,,,,,,,
23726,HMb.ST,20090702,10:42:05.898274,2,Quote,,,,,,,,,,6410.0,,,
23727,HMb.ST,20090702,10:42:12.805842,2,Quote,,,,,,15005.0,,,,,,,
23728,HMb.ST,20090702,10:42:34.362687,2,Quote,,,,,,15819.0,,,,,,,
23729,HMb.ST,20090702,10:42:40.819132,2,Quote,,,,,,,,,,5410.0,,,
23730,HMb.ST,20090702,10:42:45.780297,2,Quote,,,,,,,,,,5960.0,,,
23731,HMb.ST,20090702,10:42:46.262641,2,Quote,,,,,,14282.0,,,,,,,
23732,HMb.ST,20090702,10:42:50.440600,2,Quote,,,,,,15809.0,,,,,,,
23733,HMb.ST,20090702,10:42:51.568189,2,Quote,,,,,,14995.0,,,,,,,
23734,HMb.ST,20090702,10:42:51.611303,2,Quote,,,,,,13468.0,,,,,,,
23735,HMb.ST,20090702,10:42:56.445690,2,Quote,,,,,,14258.0,,,,,,,
23736,HMb.ST,20090702,10:42:56.521452,2,Quote,,,,,,15673.0,,,,,,,
23737,HMb.ST,20090702,10:42:57.614820,2,Quote,,,,,,14258.0,,,,,,,
23738,HMb.ST,20090702,10:43:39.346052,2,Quote,,,,,,13468.0,,,,,,,
23739,HMb.ST,20090702,10:43:41.860526,2,Quote,,,,,,,,,,6119.0,,,
23740,HMb.ST,20090702,10:43:43.471426,2,Quote,,,,,,14306.0,,,,,,,
23741,HMb.ST,20090702,10:43:47.959191,2,Quote,,,,,,,,,,6667.0,,,
23742,HMb.ST,20090702,10:43:53.664320,2,Quote,,,,,,13468.0,,,,,,,
23743,HMb.ST,20090702,10:43:56.991698,2,Quote,,,,,,,,,,6595.0,,,
23744,HMb.ST,20090702,10:43:56.991698,2,Trade,,386.5,72.0,JPM ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:43:56.000
23745,HMb.ST,20090702,10:44:10.844685,2,Quote,,,,,,,,,,6045.0,,,
23746,HMb.ST,20090702,10:44:15.898048,2,Quote,,,,,,,,,,6495.0,,,
23747,HMb.ST,20090702,10:44:17.532746,2,Quote,,,,,,,,,,6904.0,,,
23748,HMb.ST,20090702,10:44:17.578721,2,Quote,,,,,,,,,,8925.0,,,
23749,HMb.ST,20090702,10:44:17.652777,2,Quote,,,,,,,,,,9405.0,,,
23750,HMb.ST,20090702,10:44:18.595383,2,Quote,,,,,,,,,,7384.0,,,
23751,HMb.ST,20090702,10:44:20.861959,2,Quote,,,,,,,,,,6934.0,,,
23752,HMb.ST,20090702,10:44:40.588650,2,Quote,,,,,,,,,,6454.0,,,
23753,HMb.ST,20090702,10:44:41.092289,2,Quote,,,,,,,,,,6045.0,,,
23754,HMb.ST,20090702,10:44:41.611908,2,Quote,,,,,,14299.0,,,,,,,
23755,HMb.ST,20090702,10:44:42.706439,2,Quote,,,,,,15834.0,,,,,,,
23756,HMb.ST,20090702,10:44:42.706439,2,Quote,,,,,,,,,,5819.0,,,
23757,HMb.ST,20090702,10:44:42.816475,2,Trade,,386.5,226.0,ENS ,,,,CDV ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:44:42.000
23758,HMb.ST,20090702,10:44:49.755516,2,Quote,,,,,,14299.0,,,,,,,
23759,HMb.ST,20090702,10:44:52.086606,2,Quote,,,,,,,,,,6228.0,,,
23760,HMb.ST,20090702,10:44:53.654702,2,Quote,,,,,,14199.0,,,,,,,
23761,HMb.ST,20090702,10:44:53.654702,2,Trade,,386.0,100.0,AOI ,,,,SHB ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:44:53.000
23762,HMb.ST,20090702,10:44:54.094911,2,Quote,,,,,,14189.0,,,,,,,
23763,HMb.ST,20090702,10:44:54.094911,2,Trade,,386.0,10.0,AVA ,,,,AVA ,,,,15b cYd e f6 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],10:44:53.000
23764,HMb.ST,20090702,10:45:00.649411,2,Quote,,,,,,15675.0,,,,,,,
23765,HMb.ST,20090702,10:45:15.650064,2,Quote,,,,,,,,,,10728.0,,,
23766,HMb.ST,20090702,10:45:15.650064,2,Quote,,,,,,15275.0,,,,,,,
23767,HMb.ST,20090702,10:45:15.650064,2,Quote,,,,,,15175.0,,,,,,,
23768,HMb.ST,20090702,10:45:15.650064,2,Quote,,,,,,14975.0,,,,,,,
23769,HMb.ST,20090702,10:45:15.650064,2,Quote,,,,,,14944.0,,,,,,,
23770,HMb.ST,20090702,10:45:15.650064,2,Quote,,,,,,14934.0,,,,,,,
