Date,SPTSX
1993-03-19,3577
1993-03-22,3583.699951
1993-03-23,3598.699951
1993-03-24,3603.699951
1993-03-25,3612
1993-03-26,3599.699951
1993-03-29,3585.300049
1993-03-30,3586.100098
1993-03-31,3602.399902
1993-04-01,3614.600098
1993-04-02,3595.100098
1993-04-05,3604.399902
1993-04-06,3598.800049
1993-04-07,3601.399902
1993-04-08,3591.800049
1993-04-09,nan
1993-04-12,3615
1993-04-13,3624.800049
1993-04-14,3629.899902
1993-04-15,3634.199951
1993-04-16,3651.899902
1993-04-19,3663.199951
1993-04-20,3663.300049
1993-04-21,3663.699951
1993-04-22,3665.699951
1993-04-23,3685.399902
1993-04-26,3683.800049
1993-04-27,3691.199951
1993-04-28,3710.199951
1993-04-29,3755.100098
1993-04-30,3789.399902
1993-05-03,3773.5
1993-05-04,3779.199951
1993-05-05,3788.899902
1993-05-06,3794.699951
1993-05-07,3779.100098
1993-05-10,3778.5
1993-05-11,3780.399902
1993-05-12,3796.5
1993-05-13,3801.300049
1993-05-14,3813.300049
1993-05-17,3792.5
1993-05-18,3826.899902
1993-05-19,3811.300049
1993-05-20,3831.600098
1993-05-21,3836
1993-05-24,3836
1993-05-25,3859.899902
1993-05-26,3865.199951
1993-05-27,3869.699951
1993-05-28,3866.399902
1993-05-31,3882.600098
1993-06-01,3856.899902
1993-06-02,3859.800049
1993-06-03,3875
1993-06-04,3894.600098
1993-06-07,3892.199951
1993-06-08,3862.699951
1993-06-09,3859.699951
1993-06-10,3875.399902
1993-06-11,3866.5
1993-06-14,3872.199951
1993-06-15,3887.800049
1993-06-16,3892.399902
1993-06-17,3903.699951
1993-06-18,3906.899902
1993-06-21,3922.399902
1993-06-22,3935.699951
1993-06-23,3951.600098
1993-06-24,3979.600098
1993-06-25,3991.800049
1993-06-28,3965.5
1993-06-29,3963.199951
1993-06-30,3966.399902
1993-07-01,3966.399902
1993-07-02,3997.699951
1993-07-05,3990.399902
1993-07-06,3984.399902
1993-07-07,3972.699951
1993-07-08,3920.899902
1993-07-09,3927.399902
1993-07-12,3950.5
1993-07-13,3951.699951
1993-07-14,3941.699951
1993-07-15,3931.300049
1993-07-16,3901.800049
1993-07-19,3867.699951
1993-07-20,3876.100098
1993-07-21,3867.399902
1993-07-22,3838.5
1993-07-23,3830.199951
1993-07-26,3869.5
1993-07-27,3911.600098
1993-07-28,3923.100098
1993-07-29,3957.600098
1993-07-30,3967.199951
1993-08-02,3967.199951
1993-08-03,3976.5
1993-08-04,3988.5
1993-08-05,3947.600098
1993-08-06,3960
1993-08-09,4002.199951
1993-08-10,4028.399902
1993-08-11,4015.899902
1993-08-12,4009
1993-08-13,4014.600098
1993-08-16,4020.199951
1993-08-17,4032.5
1993-08-18,4069.300049
1993-08-19,4069.600098
1993-08-20,4077.199951
1993-08-23,4091.800049
1993-08-24,4112.200195
1993-08-25,4122.899902
1993-08-26,4115.600098
1993-08-27,4133.399902
1993-08-30,4138.799805
1993-08-31,4137.600098
1993-09-01,4143.700195
1993-09-02,4137.100098
1993-09-03,4125.600098
1993-09-06,nan
1993-09-07,4023.699951
1993-09-08,3952.899902
1993-09-09,4009.300049
1993-09-10,4001.699951
1993-09-13,3971.800049
1993-09-14,3972.100098
1993-09-15,3967.899902
1993-09-16,3988.100098
1993-09-17,3978.300049
1993-09-20,3952.800049
1993-09-21,3937.300049
1993-09-22,3954.899902
1993-09-23,3970.899902
1993-09-24,3982.399902
1993-09-27,3983.800049
1993-09-28,3978.800049
1993-09-29,3983.199951
1993-09-30,3990.600098
1993-10-01,3988.199951
1993-10-04,4002
1993-10-05,4014.100098
1993-10-06,4055.5
1993-10-07,4060.800049
1993-10-08,4067.300049
1993-10-11,4067.300049
1993-10-12,4107.299805
1993-10-13,4111.799805
1993-10-14,4145
1993-10-15,4182.600098
1993-10-18,4188.700195
1993-10-19,4174.700195
1993-10-20,4182.200195
1993-10-21,4163.200195
1993-10-22,4153.799805
1993-10-25,4155.299805
1993-10-26,4187.200195
1993-10-27,4197.5
1993-10-28,4235.200195
1993-10-29,4255.5
1993-11-01,4248
1993-11-02,4250.299805
1993-11-03,4244.700195
1993-11-04,4213.700195
1993-11-05,4202
1993-11-08,4216.5
1993-11-09,4251.399902
1993-11-10,4269.5
1993-11-11,4291.299805
1993-11-12,4302.799805
1993-11-15,4281.799805
1993-11-16,4257.200195
1993-11-17,4236.5
1993-11-18,4234.700195
1993-11-19,4238.200195
1993-11-22,4200.200195
1993-11-23,4215.299805
1993-11-24,4223.299805
1993-11-25,4229.100098
1993-11-26,4220.600098
1993-11-29,4170.299805
1993-11-30,4180.200195
1993-12-01,4220.399902
