Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,14351.599609,14438.599609,14314.799805,14426.599609,14426.599609,231237200
2019-01-07,14471.000000,14515.099609,14383.099609,14504.099609,14504.099609,257832000
2019-01-08,14610.500000,14645.599609,14533.900391,14605.200195,14605.200195,260100900
2019-01-09,14668.500000,14811.099609,14644.099609,14804.700195,14804.700195,269093100
2019-01-10,14770.700195,14921.099609,14702.299805,14903.500000,14903.500000,262984000
2019-01-11,14874.200195,14956.200195,14855.200195,14939.200195,14939.200195,249299500
2019-01-14,14881.000000,14997.900391,14881.000000,14975.500000,14975.500000,228994500
2019-01-15,15002.000000,15079.799805,14966.500000,15046.299805,15046.299805,241300600
2019-01-16,15072.299805,15118.299805,15057.000000,15111.299805,15111.299805,248816800
2019-01-17,15077.099609,15238.099609,15066.500000,15211.200195,15211.200195,257298500
2019-01-18,15295.000000,15325.599609,15258.900391,15303.799805,15303.799805,293702200
2019-01-21,15300.400391,15354.200195,15263.000000,15354.200195,15354.200195,92562500
2019-01-22,15276.299805,15285.200195,15160.500000,15233.799805,15233.799805,228363300
2019-01-23,15275.700195,15293.299805,15141.500000,15208.299805,15208.299805,210174500
2019-01-24,15201.500000,15281.299805,15194.299805,15280.799805,15280.799805,206075300
2019-01-25,15350.200195,15388.000000,15298.400391,15366.099609,15366.099609,216014400
2019-01-28,15289.099609,15378.599609,15276.900391,15378.599609,15378.599609,226010300
2019-01-29,15414.700195,15497.400391,15413.900391,15463.099609,15463.099609,233364800
2019-01-30,15493.400391,15520.900391,15418.599609,15484.599609,15484.599609,233825500
2019-01-31,15507.400391,15564.599609,15486.500000,15540.599609,15540.599609,286422200
2019-02-01,15562.299805,15569.000000,15483.400391,15506.299805,15506.299805,224777300
2019-02-04,15527.400391,15606.299805,15513.700195,15602.299805,15602.299805,245284400
2019-02-05,15631.799805,15702.700195,15627.799805,15702.700195,15702.700195,217732500
2019-02-06,15679.900391,15745.400391,15668.599609,15712.299805,15712.299805,218136700
2019-02-07,15697.599609,15726.500000,15588.700195,15703.400391,15703.400391,253785300
2019-02-08,15648.299805,15659.799805,15567.799805,15633.299805,15633.299805,211877800
2019-02-11,15660.500000,15660.500000,15545.900391,15568.900391,15568.900391,193012400
2019-02-12,15613.099609,15654.799805,15583.400391,15642.099609,15642.099609,248558800
2019-02-13,15679.200195,15689.700195,15623.700195,15626.700195,15626.700195,236823500
2019-02-14,15622.299805,15733.099609,15608.200195,15696.000000,15696.000000,305833800
2019-02-15,15770.000000,15866.599609,15763.400391,15838.200195,15838.200195,255717300
2019-02-19,15856.900391,15953.900391,15831.900391,15937.400391,15937.400391,336230800
2019-02-20,15942.900391,16036.900391,15942.900391,16031.200195,16031.200195,268328500
2019-02-21,16001.900391,16030.700195,15979.700195,16000.900391,16000.900391,298529700
2019-02-22,16038.400391,16071.000000,15997.400391,16013.000000,16013.000000,222858800
2019-02-25,16051.000000,16099.900391,16051.000000,16057.000000,16057.000000,219234400
2019-02-26,16051.000000,16115.799805,16051.000000,16067.900391,16067.900391,266318500
2019-02-27,16043.799805,16077.599609,15990.299805,16074.299805,16074.299805,226354300
2019-02-28,16054.799805,16067.000000,15975.099609,15999.000000,15999.000000,304602900
2019-03-01,16086.299805,16122.099609,16058.099609,16068.299805,16068.299805,243003500
2019-03-04,16088.599609,16093.500000,15955.000000,16038.099609,16038.099609,286358000
2019-03-05,16077.299805,16105.299805,16068.599609,16086.500000,16086.500000,256504000
2019-03-06,16098.700195,16145.799805,16077.599609,16092.099609,16092.099609,272531800
2019-03-07,16079.000000,16085.400391,15981.799805,16056.500000,16056.500000,271719200
2019-03-08,15958.099609,16000.799805,15891.900391,15996.200195,15996.200195,255412900
2019-03-11,16028.099609,16131.900391,16028.099609,16106.200195,16106.200195,250342300
2019-03-12,16142.599609,16149.000000,16099.599609,16136.700195,16136.700195,229111500
2019-03-13,16193.099609,16212.599609,16143.500000,16150.000000,16150.000000,271091300
2019-03-14,16139.400391,16144.500000,16083.099609,16087.599609,16087.599609,196598800
2019-03-15,16156.700195,16174.500000,16123.799805,16140.400391,16140.400391,635539200
2019-03-18,16149.099609,16251.400391,16148.299805,16251.400391,16251.400391,231369100
2019-03-19,16275.299805,16275.299805,16188.099609,16188.099609,16188.099609,250958500
2019-03-20,16168.200195,16214.700195,16118.000000,16167.599609,16167.599609,261723000
2019-03-21,16148.799805,16266.500000,16146.400391,16244.599609,16244.599609,254945500
2019-03-22,16172.900391,16185.400391,16043.900391,16089.299805,16089.299805,325520900
2019-03-25,16066.299805,16113.200195,16021.000000,16065.900391,16065.900391,234398100
2019-03-26,16138.900391,16192.200195,16116.700195,16155.200195,16155.200195,242530400
2019-03-27,16147.400391,16187.400391,16079.099609,16132.500000,16132.500000,244631900
2019-03-28,16094.099609,16173.200195,16094.099609,16155.500000,16155.500000,223248900
2019-03-29,16200.299805,16212.700195,16081.099609,16102.099609,16102.099609,227955800
2019-04-01,16187.900391,16228.099609,16153.599609,16228.099609,16228.099609,233225700
2019-04-02,16240.400391,16263.900391,16194.900391,16263.900391,16263.900391,178277900
2019-04-03,16296.000000,16338.000000,16244.500000,16279.900391,16279.900391,224154600
2019-04-04,16290.000000,16311.599609,16249.900391,16311.599609,16311.599609,189917700
2019-04-05,16337.900391,16396.199219,16330.200195,16396.199219,16396.199219,170618000
2019-04-08,16373.099609,16407.300781,16326.700195,16407.300781,16407.300781,207573900
2019-04-09,16340.599609,16345.900391,16294.299805,16336.500000,16336.500000,175136900
2019-04-10,16369.000000,16409.800781,16368.000000,16396.300781,16396.300781,213547500
2019-04-11,16412.800781,16471.800781,16399.500000,16399.500000,16399.500000,230076600
2019-04-12,16473.900391,16487.099609,16437.300781,16480.500000,16480.500000,195851400
2019-04-15,16459.900391,16532.699219,16443.300781,16515.500000,16515.500000,194884000
2019-04-16,16537.699219,16553.400391,16498.599609,16502.199219,16502.199219,202476900
2019-04-17,16535.900391,16553.400391,16495.699219,16544.199219,16544.199219,333377300
2019-04-18,16558.500000,16615.099609,16557.500000,16612.800781,16612.800781,195729700
2019-04-22,16607.199219,16616.300781,16552.800781,16577.300781,16577.300781,169942700
2019-04-23,16591.599609,16672.699219,16581.099609,16669.400391,16669.400391,221708500
2019-04-24,16642.099609,16666.000000,16572.099609,16586.500000,16586.500000,212959200
2019-04-25,16567.199219,16593.199219,16527.900391,16576.099609,16576.099609,278775000
2019-04-26,16554.300781,16615.199219,16515.500000,16613.500000,16613.500000,282659400
2019-04-29,16612.099609,16642.099609,16589.800781,16600.400391,16600.400391,180944800
2019-04-30,16582.699219,16618.800781,16544.599609,16580.699219,16580.699219,207324200
2019-05-01,16580.599609,16604.900391,16493.800781,16502.800781,16502.800781,220860600
2019-05-02,16485.000000,16492.900391,16402.199219,16410.900391,16410.900391,255495300
2019-05-03,16467.699219,16496.599609,16430.000000,16494.400391,16494.400391,202157100
2019-05-06,16332.799805,16493.500000,16327.099609,16493.500000,16493.500000,197204000
2019-05-07,16378.000000,16408.500000,16317.900391,16357.799805,16357.799805,248842000
2019-05-08,16349.099609,16451.400391,16347.200195,16397.400391,16397.400391,213596600
2019-05-09,16342.099609,16379.000000,16258.900391,16321.799805,16321.799805,224368300
2019-05-10,16278.299805,16351.700195,16139.000000,16297.599609,16297.599609,233580500
2019-05-13,16158.200195,16199.900391,16111.299805,16193.400391,16193.400391,232643800
2019-05-14,16227.400391,16320.900391,16206.200195,16284.500000,16284.500000,205376300
2019-05-15,16237.799805,16341.299805,16229.700195,16318.099609,16318.099609,203556400
2019-05-16,16361.099609,16461.900391,16349.700195,16443.900391,16443.900391,207250700
2019-05-17,16383.500000,16456.099609,16376.799805,16401.800781,16401.800781,182489100
2019-05-21,16383.299805,16426.500000,16354.299805,16426.500000,16426.500000,218951700
2019-05-22,16345.799805,16355.099609,16308.799805,16327.400391,16327.400391,197464300
2019-05-23,16228.500000,16228.500000,16105.500000,16164.599609,16164.599609,243742200
2019-05-24,16221.700195,16251.500000,16181.599609,16230.000000,16230.000000,192188500
2019-05-27,16241.400391,16346.700195,16238.299805,16346.700195,16346.700195,73315600
2019-05-28,16326.900391,16355.500000,16266.299805,16297.500000,16297.500000,396196700
2019-05-29,16196.000000,16215.299805,16105.000000,16131.500000,16131.500000,206795300
2019-05-30,16144.900391,16151.599609,16062.500000,16089.200195,16089.200195,171203300
2019-05-31,15997.700195,16047.400391,15963.299805,16037.500000,16037.500000,224730200
2019-06-03,16053.500000,16105.900391,15960.900391,16015.900391,16015.900391,223718800
2019-06-04,16075.599609,16166.200195,16027.299805,16166.200195,16166.200195,211115800
2019-06-05,16219.500000,16224.799805,16128.599609,16212.700195,16212.700195,230596500
2019-06-06,16237.400391,16241.599609,16175.099609,16227.799805,16227.799805,164790400
2019-06-07,16237.299805,16277.400391,16220.700195,16231.000000,16231.000000,171066300
2019-06-10,16234.400391,16262.200195,16201.599609,16216.299805,16216.299805,172571600
2019-06-11,16290.099609,16302.000000,16228.200195,16248.799805,16248.799805,178845100
